Alex Abrines,	Okc,	56	 ,	41	 ,	157
Ivan Rabb,	Mem,	116	 ,	3	 ,	212
Chasson Randle,	Was,	91	 ,	46	 ,	217
Julius Randle,	Nor,	571	 ,	67	 ,	1088
JJ Redick,	Phi,	452	 ,	240	 ,	1028
Davon Reed,	Ind,	5	 ,	2	 ,	12
Cameron Reynolds,	Min,	33	 ,	21	 ,	78
Josh Richardson,	Mia,	423	 ,	164	 ,	1026
Malachi Richardson,	Tor,	9	 ,	8	 ,	29
Austin Rivers,	Was,	76	 ,	33	 ,	194
Austin Rivers,	Hou,	156	 ,	71	 ,	378
Glenn Robinson III,	Det,	74	 ,	18	 ,	175
Devin Robinson,	Was,	19	 ,	0	 ,	32
Duncan Robinson,	Mia,	18	 ,	10	 ,	46
Jerome Robinson,	Lac,	44	 ,	18	 ,	110
Mitchell Robinson,	Nyk,	202	 ,	0	 ,	291
Rajon Rondo,	Lal,	175	 ,	51	 ,	432
Derrick Rose,	Min,	363	 ,	54	 ,	753
Terrence Ross,	Orl,	440	 ,	217	 ,	1027
Terry Rozier,	Bos,	258	 ,	119	 ,	665
Ricky Rubio,	Uta,	295	 ,	79	 ,	730
D'Angelo Russell,	Bro,	659	 ,	234	 ,	1517
Domantas Sabonis,	Ind,	413	 ,	9	 ,	702
Brandon Sampson,	Chi,	28	 ,	11	 ,	60
JaKarr Sampson,	Chi,	29	 ,	5	 ,	54
Dario Saric,	Phi,	48	 ,	21	 ,	132
Dario Saric,	Min,	256	 ,	97	 ,	564
Tomas Satoransky,	Was,	257	 ,	64	 ,	531
Dennis Schroder,	Okc,	457	 ,	124	 ,	1104
Mike Scott,	Lac,	92	 ,	52	 ,	230
Mike Scott,	Phi,	76	 ,	49	 ,	190
Thabo Sefolosha,	Uta,	71	 ,	34	 ,	149
Wayne Selden,	Mem,	65	 ,	20	 ,	161
Wayne Selden,	Chi,	131	 ,	35	 ,	322
Collin Sexton,	Cle,	519	 ,	119	 ,	1206
Landry Shamet,	Phi,	153	 ,	99	 ,	347
Landry Shamet,	Lac,	87	 ,	68	 ,	210
Iman Shumpert,	Sac,	133	 ,	74	 ,	348
Iman Shumpert,	Hou,	34	 ,	21	 ,	98
Pascal Siakam,	Tor,	519	 ,	79	 ,	945
Jordan Sibert,	Atl,	1	 ,	1	 ,	1
Ben Simmons,	Phi,	540	 ,	0	 ,	960
Jonathon Simmons,	Orl,	104	 ,	19	 ,	286
Jonathon Simmons,	Phi,	29	 ,	9	 ,	64
Kobi Simmons,	Cle,	0	 ,	0	 ,	0
Anfernee Simons,	Por,	28	 ,	10	 ,	63
Marcus Smart,	Bos,	239	 ,	126	 ,	567
Dennis Smith Jr.,	Dal,	157	 ,	43	 ,	358
Dennis Smith Jr.,	Nyk,	121	 ,	24	 ,	293
Ish Smith,	Det,	205	 ,	44	 ,	490
Jason Smith,	Was,	15	 ,	4	 ,	37
Jason Smith,	Mil,	4	 ,	3	 ,	13
Jason Smith,	Nor,	2	 ,	2	 ,	9
JR Smith,	Cle,	27	 ,	12	 ,	79
Zhaire Smith,	Phi,	14	 ,	6	 ,	34
Tony Snell,	Mil,	163	 ,	81	 ,	361
Ray Spalding,	Dal,	0	 ,	0	 ,	0
Ray Spalding,	Pho,	25	 ,	0	 ,	47
Omari Spellman,	Atl,	98	 ,	44	 ,	244
Nik Stauskas,	Por,	96	 ,	43	 ,	229
Nik Stauskas,	Cle,	40	 ,	27	 ,	109
DJ Stephens,	Mem,	1	 ,	0	 ,	2
Lance Stephenson,	Lal,	184	 ,	73	 ,	432
Edmond Sumner,	Ind,	22	 ,	7	 ,	64
Caleb Swanigan,	Por,	14	 ,	1	 ,	44
Caleb Swanigan,	Sac,	4	 ,	0	 ,	9
Jayson Tatum,	Bos,	466	 ,	116	 ,	1036
Jeff Teague,	Min,	176	 ,	35	 ,	416
Garrett Temple,	Mem,	166	 ,	74	 ,	387
Garrett Temple,	Lac,	42	 ,	16	 ,	105
Milos Teodosic,	Lac,	17	 ,	10	 ,	40
Jared Terrell,	Min,	12	 ,	4	 ,	38
Emanuel Terry,	Pho,	4	 ,	0	 ,	6
Emanuel Terry,	Mia,	0	 ,	0	 ,	1
Daniel Theis,	Bos,	146	 ,	26	 ,	266
Isaiah Thomas,	Den,	34	 ,	12	 ,	99
Khyri Thomas,	Det,	22	 ,	10	 ,	69
Lance Thomas,	Nyk,	78	 ,	22	 ,	197
Klay Thompson,	Gol,	655	 ,	241	 ,	1401
Tristan Thompson,	Cle,	201	 ,	0	 ,	380
Sindarius Thornwell,	Lac,	17	 ,	3	 ,	49
Anthony Tolliver,	Min,	99	 ,	81	 ,	259
Karl-Anthony Towns,	Min,	681	 ,	142	 ,	1315
Gary Trent Jr.,	Por,	16	 ,	5	 ,	50
Allonzo Trier,	Nyk,	232	 ,	52	 ,	518
PJ Tucker,	Hou,	207	 ,	146	 ,	524
Evan Turner,	Por,	204	 ,	11	 ,	444
Myles Turner,	Ind,	380	 ,	76	 ,	781
Ekpe Udoh,	Uta,	50	 ,	0	 ,	72
Tyler Ulis,	Chi,	0	 ,	0	 ,	0
Jonas Valanciunas,	Tor,	149	 ,	9	 ,	258
Jonas Valanciunas,	Mem,	152	 ,	5	 ,	279
Jarred Vanderbilt,	Den,	9	 ,	0	 ,	19
Fred VanVleet,	Tor,	246	 ,	112	 ,	600
Noah Vonleh,	Nyk,	207	 ,	46	 ,	440
Nikola Vucevic,	Orl,	701	 ,	84	 ,	1354
Dwyane Wade,	Mia,	416	 ,	86	 ,	959
Moritz Wagner,	Lal,	71	 ,	22	 ,	171
Dion Waiters,	Mia,	198	 ,	109	 ,	479
Lonnie Walker IV,	San,	16	 ,	5	 ,	46
Kemba Walker,	Cha,	731	 ,	260	 ,	1684
Tyrone Wallace,	Lac,	92	 ,	4	 ,	217
John Wall,	Was,	245	 ,	51	 ,	551
Brad Wanamaker,	Bos,	50	 ,	16	 ,	105
T.J. Warren,	Pho,	297	 ,	77	 ,	611
Julian Washburn,	Mem,	16	 ,	5	 ,	48
Yuta Watanabe,	Mem,	15	 ,	2	 ,	51
Thomas Welsh,	Den,	7	 ,	3	 ,	13
Russell Westbrook,	Okc,	630	 ,	119	 ,	1473
Derrick White,	San,	260	 ,	48	 ,	543
Okaro White,	Was,	0	 ,	0	 ,	2
Hassan Whiteside,	Mia,	388	 ,	2	 ,	681
Andrew Wiggins,	Min,	498	 ,	118	 ,	1210
Robert Williams III,	Bos,	36	 ,	0	 ,	51
Alan Williams,	Bro,	8	 ,	0	 ,	13
C.J. Williams,	Min,	17	 ,	5	 ,	35
Johnathan Williams,	Lal,	65	 ,	0	 ,	110
Kenrich Williams,	Nor,	107	 ,	52	 ,	279
Lou Williams,	Lac,	484	 ,	105	 ,	1139
Marvin Williams,	Cha,	275	 ,	140	 ,	652
Troy Williams,	Sac,	44	 ,	14	 ,	98
D.J. Wilson,	Mil,	104	 ,	46	 ,	251
Justise Winslow,	Mia,	324	 ,	96	 ,	749
Christian Wood,	Mil,	12	 ,	3	 ,	25
Christian Wood,	Nor,	49	 ,	6	 ,	92
Delon Wright,	Tor,	127	 ,	30	 ,	293
Delon Wright,	Mem,	115	 ,	20	 ,	265
Guerschon Yabusele,	Bos,	35	 ,	9	 ,	77
Nick Young,	Den,	3	 ,	3	 ,	9
Thaddeus Young,	Ind,	443	 ,	51	 ,	842
Trae Young,	Atl,	525	 ,	156	 ,	1257
Cody Zeller,	Cha,	190	 ,	6	 ,	345
Tyler Zeller,	Atl,	0	 ,	0	 ,	2
Tyler Zeller,	Mem,	16	 ,	0	 ,	28
Ante Zizic,	Cle,	183	 ,	0	 ,	330
Ivica Zubac,	Lal,	112	 ,	0	 ,	193
Ivica Zubac,	Lac,	100	 ,	0	 ,	186
